"Priority","Resource","IssueCount","Fields"
"HIGH","aggregate","4","Comments, DateAdded, Description, Tenant"
"LOW","cable","13","Color, CustomFields, Label, Length, LengthUnit, Status, Type"
"LOW","circuit_group_assignment","3","Priority, Tags"
"LOW","circuit_group","2","Description, Tags"
"LOW","circuit_termination","8","MarkConnected, PortSpeed, PPInfo, ProviderNetwork, Site, Tags, UpstreamSpeed, XconnectID"
"LOW","circuit_type","3","Color, Tags"
"LOW","config_context","16","ClusterGroups, Clusters, ClusterTypes, Description, DeviceTypes, IsActive, Locations, Platforms, Regions, Roles, SiteGroups, Sites, Tags, TenantGroups, Tenants, Weight"
"LOW","console_port","8","Label, MarkConnected, Speed, Type"
"LOW","console_port_template","8","DeviceType, Label, ModuleType, Type"
"LOW","console_server_port","4","Label, MarkConnected, Speed, Type"
"LOW","console_server_port_template","8","DeviceType, Label, ModuleType, Type"
"LOW","contact_assignment","2","Priority, Role"
"LOW","contact","1","Group"
"LOW","custom_field_choice_set","4","BaseChoices, OrderAlphabetically"
"LOW","custom_field","15","ChoiceSet, Default, FilterLogic, GroupName, IsCloneable, Label, RelatedObjectType, Required, SearchWeight, UIEditable, UIVisible, ValidationMaximum, ValidationMinimum, ValidationRegex, Weight"
"LOW","custom_link","10","ButtonClass, Enabled, GroupName, NewWindow, Weight"
"LOW","device_bay","1","Label"
"HIGH","device","26","Airflow, AssetTag, Comments, Description, Face, Latitude, Location, Longitude, Name, Platform, Position, Rack, Serial, Status, Tenant, VcPosition, VcPriority"
"MEDIUM","device_role","6","Color, Description, VMRole"
"MEDIUM","device_type","25","Airflow, Comments, DefaultPlatform, Description, ExcludeFromUtilization, IsFullDepth, PartNumber, SubdeviceRole, UHeight, Weight, WeightUnit"
"LOW","event_rule","4","ActionObjectID, ActionType, Conditions, Enabled"
"LOW","export_template","4","AsAttachment, ObjectTypes"
"LOW","front_port","4","Color, Label, MarkConnected, RearPortPosition"
"LOW","front_port_template","10","Color, DeviceType, Label, ModuleType, RearPortPosition"
"MEDIUM","interface","14","Bridge, Description, Duplex, Enabled, Label, Lag, MacAddress, MarkConnected, MgmtOnly, Mode, Mtu, Parent, Speed, Wwn"
"LOW","interface_template","20","Bridge, DeviceType, Enabled, Label, MgmtOnly, ModuleType, PoeMode, PoeType, RfRole"
"LOW","inventory_item","16","AssetTag, Discovered, Label, Manufacturer, Parent, PartID, Role, Serial"
"LOW","inventory_item_role","1","Color"
"LOW","inventory_item_template","14","ComponentID, ComponentType, Label, Manufacturer, Parent, PartID, Role"
"LOW","ip_range","2","Comments, Description"
"LOW","l2vpn","7","ExportTargets, Identifier, ImportTargets, Tags"
"LOW","l2vpn_termination","1","Tags"
"LOW","location","2","Facility, Status"
"LOW","module_bay","2","Label, Position"
"LOW","module_bay_template","8","DeviceType, Label, ModuleType, Position"
"LOW","module","3","AssetTag, Serial, Status"
"LOW","module_type","8","Airflow, PartNumber, Weight, WeightUnit"
"LOW","notification_group","4","GroupIDs, UserIDs"
"LOW","power_feed","12","Amperage, CustomFields, MarkConnected, MaxUtilization, Phase, Rack, Status, Supply, Tags, Tenant, Type, Voltage"
"LOW","power_outlet","10","FeedLeg, Label, MarkConnected, PowerPort, Type"
"LOW","power_outlet_template","12","DeviceType, FeedLeg, Label, ModuleType, PowerPort, Type"
"LOW","power_panel","1","Location"
"LOW","power_port","11","AllocatedDraw, Description, Label, MarkConnected, MaximumDraw, Type"
"LOW","power_port_template","12","AllocatedDraw, DeviceType, Label, MaximumDraw, ModuleType, Type"
"LOW","provider_account","1","Name"
"LOW","provider_network","1","ServiceID"
"LOW","rack_reservation","1","Tenant"
"MEDIUM","rack","32","Airflow, AssetTag, DescUnits, FormFactor, MaxWeight, MountingDepth, OuterDepth, OuterUnit, OuterWidth, Serial, StartingUnit, Status, UHeight, Weight, WeightUnit, Width"
"LOW","rack_role","4","Color, Description"
"LOW","rear_port","4","Color, Label, MarkConnected, Positions"
"LOW","rear_port_template","10","Color, DeviceType, Label, ModuleType, Positions"
"LOW","role","2","Description, Weight"
"LOW","route_target","2","Comments, Description"
"LOW","service","3","Device, IPAddresses, VirtualMachine"
"LOW","service_template","2","Ports, Protocol"
"LOW","tag","2","ObjectTypes"
"LOW","tunnel_group","3","Description, Tags"
"LOW","tunnel","12","CustomFields, Group, IPSecProfile, Status, Tags, Tenant, TunnelID"
"LOW","tunnel_termination","7","OutsideIP, Role, Tags, TerminationID"
"LOW","virtual_device_context","4","Identifier, PrimaryIP4, PrimaryIP6, Tenant"
"HIGH","vlan","1","Status"
"MEDIUM","vm_interface","2","MACAddress, Mode"
"LOW","webhook","8","CAFilePath, HTTPContentType, HTTPMethod, SSLVerification"
"LOW","wireless_lan_group","2","Description, Parent"
"LOW","wireless_lan","8","AuthCipher, AuthPSK, AuthType, Description, Group, Status, Tenant, VLAN"
"LOW","wireless_link","7","AuthCipher, AuthPSK, AuthType, Distance, DistanceUnit, SSID, Status"
